iter	Tweedie:variance_power=1.3
0	13262.30341
1	12615.60451
2	12000.45922
3	11415.32905
4	10858.7526
5	10329.33932
6	9825.766158
7	9346.777487
8	8891.174332
9	8457.822635
10	8045.639045
11	7653.595012
12	7280.712218
13	6926.062993
14	6588.765281
15	6267.976963
16	5962.901733
17	5672.778552
18	5396.8928
19	5134.55145
20	4885.113019
21	4647.957925
22	4422.502945
23	4208.193553
24	4004.503225
25	3810.934555
26	3627.017856
27	3452.304552
28	3286.375274
29	3128.831253
30	2979.297336
31	2837.419708
32	2702.865571
33	2575.322616
34	2454.496048
35	2340.111849
36	2231.912079
37	2129.649696
38	2033.102896
39	1942.057658
40	1856.310474
41	1775.6757
42	1699.951461
43	1628.980683
44	1562.598626
45	1500.635394
46	1442.899231
47	1389.221215
48	1339.43393
49	1293.40744
50	1250.949281
51	1211.912917
52	1176.138108
53	1143.356371
54	1113.395691
55	1086.009561
56	1061.271343
57	1038.677102
58	1018.366534
59	999.7838868
60	983.0737405
61	968.0902606
62	954.4822037
63	942.284098
64	931.3902058
65	921.4680276
66	912.5851318
67	904.3848458
68	897.224156
69	890.691353
70	884.8925085
71	879.5777416
72	874.9366707
73	870.6930573
74	866.9341851
75	863.603211
76	860.4817014
77	857.5756861
78	855.1060498
79	852.9139621
80	851.0006469
81	849.0441553
82	847.1851029
83	845.618002
84	844.1876681
85	842.9520539
86	841.816752
87	840.8008234
88	839.5268177
89	838.5589206
90	837.7211958
91	836.8776766
92	836.0703599
93	835.3182009
94	834.7433218
95	833.9520439
96	833.3184448
97	832.7437585
98	832.3581207
99	831.6398107
